ID,Tune Date,System,Test ID,69 m/z,70 m/z,219 m/z,220 m/z,502 m/z,503 m/z,Amu gain,Amu offset,Emission,EM Volts,Ent Lens,Ion Focus,Repeller,Ent Lens offset,Filament,Width219,Temp,Condition
1,25/03/2020 5:29 PM  (UTC+11:00),35,1,445696,5005,310144,12334,18208,1580,2671,134.063,34.6,1729,20.18,90.3,27.33,14.273,1,-0.016,250,0
2,26/03/2020 3:29 PM  (UTC+11:00),35,1,454976,4697,308288,13179,17344,1761,2671,134.188,34.6,1738,20.18,90.3,27.33,14.273,1,-0.011,250,0
3,27/03/2020 8:49 AM  (UTC+11:00),35,1,346944,3788,250240,10928,11194,926,2668,134.563,34.6,1723,20.18,90.3,26.33,15.312,1,-0.011,250,0
4,30/03/2020 11:00 AM  (UTC+11:00),35,1,372992,4133,257792,11508,11805,1220,2669,134.063,34.6,1662,17.63,90.3,26.33,15.482,1,-0.011,250,0
5,31/03/2020 11:52 AM  (UTC+11:00),35,1,377280,4179,261760,10624,13116,1397,2670,134.063,34.6,1693,17.63,90.3,28.52,15.482,1,-0.012,250,0
6,1/04/2020 12:28 PM  (UTC+11:00),35,1,457088,5148,324032,14255,12991,1769,2670,134.5,34.6,1714,17.63,90.3,29.12,15.482,1,-0.008,250,0
7,2/04/2020 1:31 PM  (UTC+11:00),35,1,361984,4140,263424,10897,12748,1159,2665,133.875,34.6,1660,17.63,90.3,28.72,15.482,1,-0.018,250,0
8,3/04/2020 11:12 AM  (UTC+11:00),35,1,386752,4345,278976,12057,10610,1119,2674,134.125,34.6,1700,17.63,90.3,29.12,15.482,1,-0.007,250,0
9,6/04/2020 2:32 PM  (UTC+10:00),35,1,380544,4483,255104,11449,13253,1359,2672,134.063,34.6,1683,17.63,90.3,28.72,15.482,1,-0.013,250,0
10,7/04/2020 1:19 PM  (UTC+10:00),35,1,440192,4942,320832,13460,18904,1966,2665,134.313,34.6,1705,17.63,90.3,29.72,15.482,1,-0.015,250,0
11,8/04/2020 10:32 AM  (UTC+10:00),35,1,359872,4032,256576,11473,12996,1501,2662,134.313,34.6,1685,17.63,90.3,29.32,15.482,1,-0.018,250,0
12,9/04/2020 2:41 PM  (UTC+10:00),35,1,450304,5112,319168,14132,16536,1536,2670,134.375,34.6,1726,17.63,90.3,29.92,15.482,1,-0.011,250,0
13,14/04/2020 10:31 AM  (UTC+10:00),35,1,413376,4626,271936,12861,15180,1521,2671,133.875,34.6,1742,17.63,90.3,29.72,15.482,1,-0.017,250,0
14,15/04/2020 1:11 PM  (UTC+10:00),35,1,361472,4195,268928,11342,13380,1579,2672,134.125,34.6,1654,20.18,90.3,29.52,14.273,1,-0.01,250,0
15,16/04/2020 12:08 PM  (UTC+10:00),35,1,384640,4115,277760,11947,15286,1726,2666,134,34.6,1658,20.18,90.3,29.32,14.273,1,-0.019,250,0
16,17/04/2020 3:39 PM  (UTC+10:00),35,1,438016,4620,318016,13406,16736,1735,2671,134.063,34.6,1746,20.18,90.3,29.52,14.273,1,-0.016,250,0
17,20/04/2020 10:37 AM  (UTC+10:00),35,1,355072,3657,254784,10834,15957,1749,2666,134.375,34.6,1796,20.18,90.3,28.92,14.273,1,-0.018,250,0
18,21/04/2020 2:31 PM  (UTC+10:00),35,1,376832,4296,279616,11270,15430,1663,2664,134.375,34.6,1735,20.18,90.3,28.52,14.273,1,-0.018,250,0
19,21/04/2020 2:40 PM  (UTC+10:00),35,1,445376,4932,324544,14835,18032,1817,2669,134.188,34.6,1773,20.18,90.3,28.92,14.273,1,-0.018,250,0
20,22/04/2020 2:24 PM  (UTC+10:00),35,1,425792,4797,308224,13731,18152,1866,2662,134.313,34.6,1784,20.18,90.3,28.92,14.273,1,-0.023,250,0
21,23/04/2020 1:11 PM  (UTC+10:00),35,1,348160,3905,263552,11073,15235,1560,2666,134.438,34.6,1776,20.18,90.3,28.52,14.273,1,-0.016,250,0
22,24/04/2020 2:21 PM  (UTC+10:00),35,1,375104,4063,273152,12229,13854,1720,2670,134.063,34.6,1780,20.18,90.3,28.72,14.273,1,-0.017,250,0
23,27/04/2020 1:29 PM  (UTC+10:00),35,1,341056,3822,254528,10591,11941,1244,2667,134.063,34.6,1691,20.18,90.3,28.13,14.273,1,-0.019,250,0
24,27/04/2020 1:43 PM  (UTC+10:00),35,1,447104,5099,335168,14059,19560,1822,2664,134.25,34.6,1741,20.18,90.3,28.33,14.273,1,-0.02,250,0
25,28/04/2020 1:35 PM  (UTC+10:00),35,1,349568,3793,244544,10912,13553,1407,2662,134.313,34.6,1733,20.18,90.3,27.93,14.273,1,-0.018,250,0
26,29/04/2020 2:53 PM  (UTC+10:00),35,1,340736,3361,250560,10226,14616,1672,2664,134.313,34.6,1695,20.18,90.3,27.73,14.273,1,-0.017,250,0
27,30/04/2020 2:58 PM  (UTC+10:00),35,1,457920,4983,329792,15264,20696,1584,2670,134.063,34.6,1756,20.18,90.3,28.52,14.273,1,-0.013,250,0
28,1/05/2020 2:48 PM  (UTC+10:00),35,1,437504,4762,328128,14273,19672,1783,2666,134.063,34.6,1830,20.18,90.3,28.33,14.273,1,-0.021,250,0
29,4/05/2020 1:36 PM  (UTC+10:00),35,1,311936,3568,239040,9472,9870,1362,2666,134.188,34.6,1775,20.18,90.3,27.73,14.273,1,-0.018,250,0
30,5/05/2020 1:39 PM  (UTC+10:00),35,1,394432,4469,295040,12268,18896,1656,2664,133.563,34.6,1766,20.18,90.3,28.13,14.273,1,-0.027,250,0
31,5/05/2020 1:47 PM  (UTC+10:00),35,1,433536,4430,326336,13932,19536,2306,2669,133.813,34.6,1785,20.18,90.3,28.52,14.273,1,-0.02,250,0
32,6/05/2020 1:41 PM  (UTC+10:00),35,1,463232,4983,345024,15331,22712,2320,2664,133.813,34.6,1859,20.18,90.3,28.33,14.273,1,-0.024,250,0
33,7/05/2020 1:50 PM  (UTC+10:00),35,1,352064,3660,268736,12092,15871,1508,2665,134,34.6,1818,20.18,90.3,27.53,14.273,1,-0.025,250,0
34,8/05/2020 1:40 PM  (UTC+10:00),35,1,345856,3715,263232,11561,13698,1507,2660,134.25,34.6,1805,20.18,90.3,27.33,14.273,1,-0.026,250,0
35,11/05/2020 2:35 PM  (UTC+10:00),35,1,449280,4546,336384,14198,17688,1621,2669,134.563,34.6,1873,22.67,90.3,28.72,14.11,1,-0.015,250,0
36,12/05/2020 2:33 PM  (UTC+10:00),35,1,462400,5284,349696,15293,16213,1737,2668,134.375,34.6,1883,22.67,90.3,28.72,14.11,1,-0.018,250,0
37,13/05/2020 2:30 PM  (UTC+10:00),35,1,360640,3975,262080,12135,15545,1567,2669,134.063,34.6,1831,22.67,90.3,27.73,14.11,1,-0.02,250,0
38,14/05/2020 1:24 PM  (UTC+10:00),35,1,335936,3662,256064,10997,12190,1514,2663,134.25,34.6,1826,22.67,90.3,27.73,14.11,1,-0.023,250,0
39,15/05/2020 2:36 PM  (UTC+10:00),35,1,381056,4191,288064,12225,16375,1663,2671,134.375,34.6,1812,22.67,90.3,27.13,14.11,1,-0.016,250,0
40,18/05/2020 12:28 PM  (UTC+10:00),35,1,320576,3447,271168,11119,17840,2068,2666,133.75,34.6,1802,20.18,90.3,27.53,14.273,1,-0.025,250,0
41,19/05/2020 2:37 PM  (UTC+10:00),35,1,436928,4792,332736,14326,22448,2538,2660,134,34.6,1826,20.18,90.3,28.52,14.273,1,-0.026,250,0
42,20/05/2020 2:24 PM  (UTC+10:00),35,1,427520,4940,325952,14063,16816,2002,2675,133.813,34.6,1795,20.18,90.3,28.72,14.273,1,-0.014,250,0
43,21/05/2020 1:23 PM  (UTC+10:00),35,1,436672,4800,315136,13973,20224,2233,2665,134.125,34.6,1803,22.67,90.3,27.53,14.11,1,-0.021,250,0
44,22/05/2020 12:33 PM  (UTC+10:00),35,1,372672,4041,238336,10738,10762,1193,2664,134.25,34.6,1762,22.67,90.3,26.33,14.11,1,-0.02,250,0
45,25/05/2020 12:39 PM  (UTC+10:00),35,1,376192,4055,257344,11080,17120,1794,2660,134.188,34.6,1809,22.67,90.3,27.33,14.11,1,-0.025,250,0
46,26/05/2020 2:32 PM  (UTC+10:00),35,1,405248,4641,301440,12541,18264,1633,2663,133.813,34.6,1854,20.18,90.3,27.53,14.273,1,-0.025,250,0
47,27/05/2020 2:53 PM  (UTC+10:00),35,1,472064,5459,358208,15698,28328,2460,2664,133.813,34.6,1915,20.18,90.3,28.13,14.273,1,-0.026,250,0
48,28/05/2020 3:12 PM  (UTC+10:00),35,1,418048,4570,336064,14989,21160,2999,2664,133.875,34.6,1945,22.67,90.3,28.92,13.071,1,-0.027,250,0
49,29/05/2020 1:53 PM  (UTC+10:00),35,1,415872,4498,336320,14187,23304,2906,2670,133.875,34.6,1940,22.67,90.3,27.93,13.071,1,-0.021,250,0
50,1/06/2020 2:08 PM  (UTC+10:00),35,1,378432,4329,323392,12695,22992,2886,2668,134,34.6,1948,22.67,90.3,28.33,13.071,1,-0.022,250,0
51,2/06/2020 2:45 PM  (UTC+10:00),35,1,331136,3969,266944,11987,19608,1817,2671,133.688,34.6,1860,22.67,90.3,27.93,13.071,1,-0.021,250,0
52,3/06/2020 2:32 PM  (UTC+10:00),35,1,369344,3941,294336,13151,20464,1679,2667,134.063,34.6,1849,20.18,90.3,27.53,14.273,1,-0.022,250,0
53,4/06/2020 1:36 PM  (UTC+10:00),35,1,427776,4702,337280,14942,18888,2559,2667,133.938,34.6,1891,20.18,90.3,27.73,14.273,1,-0.023,250,0
54,5/06/2020 12:39 PM  (UTC+10:00),35,1,359680,4016,282240,11237,17416,2088,2666,134.063,34.6,1802,22.67,90.3,27.93,14.11,1,-0.02,250,1
55,5/06/2020 3:26 PM  (UTC+10:00),35,1,402304,4607,243456,10238,13438,1406,2670,134.438,34.6,1872,22.67,90.3,26.93,15.149,2,-0.015,250,0
56,7/06/2020 10:52 AM  (UTC+10:00),35,1,335168,3833,194752,7886,11750,1257,2662,133.625,34.6,1887,22.67,90.3,27.93,15.149,2,-0.033,250,0
57,9/06/2020 2:11 PM  (UTC+10:00),35,1,340032,3489,187776,8930,10027,1217,2667,133.938,34.6,1845,22.67,90.3,27.53,15.149,2,-0.026,250,0
58,10/06/2020 2:36 PM  (UTC+10:00),35,1,448576,4911,262592,12023,15368,1943,2659,134.5,34.6,1910,20.18,90.3,28.52,15.312,2,-0.028,250,0
59,11/06/2020 1:53 PM  (UTC+10:00),35,1,429056,4607,267200,11504,18304,1497,2667,134.125,34.6,1928,20.18,90.3,28.72,15.312,2,-0.022,250,0
60,12/06/2020 12:10 PM  (UTC+10:00),35,1,433536,4804,251520,12357,14247,1474,2669,133.688,34.6,1912,20.18,90.3,28.13,15.312,2,-0.024,250,0
61,15/06/2020 2:08 PM  (UTC+10:00),35,1,336128,3441,199232,8865,12035,1169,2669,133.938,34.6,1858,20.18,90.3,27.33,15.312,2,-0.024,250,0
62,16/06/2020 2:31 PM  (UTC+10:00),35,1,466624,4694,289728,12854,16352,1902,2664,134.188,34.6,1940,20.18,90.3,28.13,15.312,2,-0.024,250,0
63,17/06/2020 2:05 PM  (UTC+10:00),35,1,376384,3962,242752,9972,17112,1709,2663,134.063,34.6,1880,20.18,90.3,27.53,15.312,2,-0.025,250,0
64,18/06/2020 10:10 AM  (UTC+10:00),35,1,444288,4964,283072,12792,15625,1792,2665,133.75,34.6,1941,20.18,90.3,27.73,15.312,2,-0.026,250,0
65,19/06/2020 2:03 PM  (UTC+10:00),35,1,355200,3780,231616,10064,16656,1382,2668,133.875,34.6,1896,20.18,90.3,28.13,15.312,2,-0.022,250,0
66,22/06/2020 12:32 PM  (UTC+10:00),35,1,318400,3705,210432,8574,11630,1100,2674,133.813,34.6,1855,20.18,90.3,27.33,15.312,2,-0.018,250,0
67,23/06/2020 2:05 PM  (UTC+10:00),35,1,388864,4259,264960,10723,18736,1852,2664,133.875,34.6,1917,22.67,90.3,27.93,14.11,2,-0.03,250,0
68,24/06/2020 2:05 PM  (UTC+10:00),35,1,430528,4390,291776,13502,17952,2169,2669,133.688,34.6,1945,22.67,90.3,28.52,14.11,2,-0.028,250,0
69,25/06/2020 2:24 PM  (UTC+10:00),35,1,441792,5098,307072,13382,22312,2143,2667,133.938,34.6,1955,22.67,90.3,28.72,14.11,2,-0.022,250,0
70,26/06/2020 2:23 PM  (UTC+10:00),35,1,421888,4650,293888,13338,18912,1785,2670,133.75,34.6,1950,22.67,90.3,27.93,14.11,2,-0.024,250,0
71,29/06/2020 11:35 AM  (UTC+10:00),35,1,417152,4978,293440,14161,18984,1924,2668,133.938,34.6,1953,22.67,90.3,28.13,14.11,2,-0.022,250,0
72,30/06/2020 11:49 AM  (UTC+10:00),35,1,346048,3812,234944,10047,18448,2047,2662,133.625,34.6,1901,20.18,90.3,28.52,14.273,2,-0.034,250,0
73,1/07/2020 2:33 PM  (UTC+10:00),35,1,407040,4022,265920,11903,18784,1464,2662,133.875,34.6,1942,22.67,90.3,26.73,14.11,2,-0.03,250,0
74,2/07/2020 2:46 PM  (UTC+10:00),35,1,417280,4410,269568,12635,18232,2026,2668,134.125,34.6,1943,22.67,90.3,26.93,14.11,2,-0.019,250,0
